<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.09.01	00:00:00	1.00510	1.00545	1.00509	1.00515	9	0	15
2022.09.01	00:01:00	1.00515	1.00522	1.00504	1.00515	7	0	58
2022.09.01	00:02:00	1.00515	1.00522	1.00505	1.00507	16	0	58
2022.09.01	00:03:00	1.00507	1.00507	1.00505	1.00505	4	0	58
2022.09.01	00:04:00	1.00512	1.00515	1.00512	1.00515	3	0	65
2022.09.01	00:05:00	1.00512	1.00515	1.00503	1.00503	8	0	65
2022.09.01	00:06:00	1.00503	1.00509	1.00499	1.00499	5	0	60
2022.09.01	00:07:00	1.00496	1.00501	1.00471	1.00482	28	0	17
2022.09.01	00:08:00	1.00482	1.00504	1.00479	1.00482	18	0	8
2022.09.01	00:09:00	1.00481	1.00488	1.00435	1.00441	21	0	19
2022.09.01	00:10:00	1.00478	1.00506	1.00443	1.00502	72	0	12
2022.09.01	00:11:00	1.00501	1.00506	1.00490	1.00491	301	0	8
2022.09.01	00:12:00	1.00493	1.00495	1.00490	1.00492	286	0	14
2022.09.01	00:13:00	1.00491	1.00496	1.00490	1.00493	276	0	14
2022.09.01	00:14:00	1.00490	1.00494	1.00457	1.00463	272	0	16
2022.09.01	00:15:00	1.00462	1.00473	1.00457	1.00463	269	0	43
2022.09.01	00:16:00	1.00463	1.00474	1.00459	1.00470	236	0	35
2022.09.01	00:17:00	1.00470	1.00482	1.00446	1.00463	170	0	23
2022.09.01	00:18:00	1.00457	1.00457	1.00457	1.00457	1	0	65
2022.09.01	00:19:00	1.00465	1.00483	1.00465	1.00483	3	0	18
2022.09.01	00:20:00	1.00483	1.00503	1.00483	1.00495	7	0	2
2022.09.01	00:21:00	1.00495	1.00503	1.00494	1.00494	8	0	7
2022.09.01	00:22:00	1.00495	1.00495	1.00494	1.00494	2	0	29
2022.09.01	00:23:00	1.00494	1.00503	1.00494	1.00495	3	0	8
2022.09.01	00:24:00	1.00490	1.00490	1.00488	1.00488	2	0	7
2022.09.01	00:25:00	1.00493	1.00494	1.00489	1.00489	7	0	2
2022.09.01	00:26:00	1.00489	1.00489	1.00487	1.00488	4	0	7
2022.09.01	00:27:00	1.00488	1.00536	1.00467	1.00467	32	0	7
2022.09.01	00:28:00	1.00477	1.00523	1.00467	1.00494	158	0	18
2022.09.01	00:29:00	1.00495	1.00508	1.00487	1.00490	50	0	2
2022.09.01	00:30:00	1.00490	1.00507	1.00490	1.00507	42	0	2
2022.09.01	00:31:00	1.00507	1.00511	1.00507	1.00511	55	0	7
2022.09.01	00:32:00	1.00511	1.00511	1.00508	1.00510	17	0	7
2022.09.01	00:33:00	1.00511	1.00521	1.00511	1.00517	9	0	10
2022.09.01	00:34:00	1.00517	1.00517	1.00515	1.00516	4	0	10
2022.09.01	00:35:00	1.00515	1.00515	1.00507	1.00514	10	0	10
2022.09.01	00:36:00	1.00515	1.00515	1.00501	1.00514	6	0	10
2022.09.01	00:37:00	1.00515	1.00515	1.00505	1.00515	4	0	10
2022.09.01	00:38:00	1.00515	1.00517	1.00505	1.00517	3	0	10
2022.09.01	00:39:00	1.00510	1.00510	1.00509	1.00509	2	0	21
2022.09.01	00:40:00	1.00514	1.00518	1.00494	1.00494	12	0	10
2022.09.01	00:41:00	1.00492	1.00517	1.00492	1.00506	6	0	10
2022.09.01	00:42:00	1.00494	1.00518	1.00493	1.00518	8	0	10
2022.09.01	00:43:00	1.00518	1.00518	1.00494	1.00517	5	0	10
2022.09.01	00:44:00	1.00513	1.00513	1.00512	1.00512	2	0	11
2022.09.01	00:45:00	1.00517	1.00517	1.00494	1.00514	12	0	10
2022.09.01	00:46:00	1.00513	1.00513	1.00495	1.00504	21	0	2
2022.09.01	00:47:00	1.00502	1.00504	1.00494	1.00504	8	0	2
2022.09.01	00:48:00	1.00500	1.00500	1.00492	1.00498	7	0	7
2022.09.01	00:49:00	1.00496	1.00497	1.00496	1.00497	2	0	33
2022.09.01	00:57:00	1.00508	1.00508	1.00495	1.00507	7	0	7
2022.09.01	00:58:00	1.00507	1.00507	1.00496	1.00496	3	0	7
2022.09.01	00:59:00	1.00501	1.00507	1.00485	1.00485	3	0	7
2022.09.01	01:00:00	1.00507	1.00538	1.00507	1.00522	64	0	2
2022.09.01	01:01:00	1.00522	1.00538	1.00522	1.00537	10	0	7
2022.09.01	01:02:00	1.00537	1.00537	1.00521	1.00521	18	0	7
2022.09.01	01:03:00	1.00521	1.00523	1.00517	1.00522	17	0	2
2022.09.01	01:04:00	1.00522	1.00532	1.00520	1.00532	13	0	7
2022.09.01	01:05:00	1.00532	1.00539	1.00528	1.00530	17	0	7
2022.09.01	01:06:00	1.00529	1.00529	1.00525	1.00527	5	0	7
2022.09.01	01:07:00	1.00524	1.00524	1.00522	1.00522	3	0	15
2022.09.01	01:08:00	1.00527	1.00528	1.00527	1.00527	5	0	7
2022.09.01	01:09:00	1.00528	1.00529	1.00528	1.00529	2	0	11
2022.09.01	01:10:00	1.00527	1.00538	1.00527	1.00538	10	0	2
2022.09.01	01:11:00	1.00538	1.00540	1.00534	1.00534	11	0	2
2022.09.01	01:12:00	1.00534	1.00539	1.00534	1.00538	6	0	2
2022.09.01	01:13:00	1.00539	1.00539	1.00530	1.00538	31	0	2
2022.09.01	01:14:00	1.00538	1.00538	1.00529	1.00532	22	0	2
2022.09.01	01:15:00	1.00533	1.00533	1.00524	1.00529	24	0	2
2022.09.01	01:16:00	1.00530	1.00531	1.00523	1.00524	12	0	7
2022.09.01	01:17:00	1.00524	1.00529	1.00524	1.00527	18	0	7
2022.09.01	01:18:00	1.00527	1.00528	1.00519	1.00523	14	0	7
2022.09.01	01:19:00	1.00523	1.00524	1.00514	1.00516	26	0	2
2022.09.01	01:20:00	1.00516	1.00521	1.00513	1.00514	24	0	2
2022.09.01	01:21:00	1.00515	1.00515	1.00505	1.00515	23	0	1
2022.09.01	01:22:00	1.00515	1.00518	1.00512	1.00513	18	0	2
2022.09.01	01:23:00	1.00513	1.00517	1.00512	1.00513	10	0	9
2022.09.01	01:24:00	1.00513	1.00514	1.00507	1.00509	22	0	10
2022.09.01	01:25:00	1.00509	1.00516	1.00507	1.00510	43	0	9
2022.09.01	01:26:00	1.00510	1.00515	1.00509	1.00514	39	0	8
2022.09.01	01:27:00	1.00514	1.00516	1.00505	1.00508	23	0	2
2022.09.01	01:28:00	1.00508	1.00517	1.00507	1.00513	48	0	2
2022.09.01	01:29:00	1.00513	1.00518	1.00509	1.00511	26	0	2
2022.09.01	01:30:00	1.00511	1.00523	1.00511	1.00513	78	0	2
2022.09.01	01:31:00	1.00515	1.00516	1.00505	1.00505	56	0	2
2022.09.01	01:32:00	1.00505	1.00505	1.00496	1.00496	40	0	2
2022.09.01	01:33:00	1.00496	1.00501	1.00496	1.00498	20	0	2
2022.09.01	01:34:00	1.00498	1.00500	1.00483	1.00494	36	0	2
2022.09.01	01:35:00	1.00494	1.00497	1.00490	1.00495	37	0	2
2022.09.01	01:36:00	1.00495	1.00503	1.00494	1.00503	28	0	2
2022.09.01	01:37:00	1.00503	1.00504	1.00496	1.00497	25	0	2
2022.09.01	01:38:00	1.00497	1.00497	1.00482	1.00483	29	0	2
2022.09.01	01:39:00	1.00484	1.00488	1.00478	1.00486	14	0	2
2022.09.01	01:40:00	1.00486	1.00498	1.00486	1.00496	29	0	2
2022.09.01	01:41:00	1.00497	1.00506	1.00497	1.00503	26	0	2
2022.09.01	01:42:00	1.00503	1.00507	1.00501	1.00504	38	0	2
2022.09.01	01:43:00	1.00504	1.00507	1.00504	1.00505	11	0	2
2022.09.01	01:44:00	1.00505	1.00510	1.00504	1.00507	26	0	2
2022.09.01	01:45:00	1.00507	1.00508	1.00498	1.00499	18	0	2
2022.09.01	01:46:00	1.00499	1.00503	1.00498	1.00502	9	0	2
2022.09.01	01:47:00	1.00502	1.00502	1.00500	1.00500	12	0	2
2022.09.01	01:48:00	1.00500	1.00506	1.00500	1.00505	12	0	2
2022.09.01	01:49:00	1.00505	1.00507	1.00503	1.00507	13	0	2
2022.09.01	01:50:00	1.00507	1.00507	1.00492	1.00493	27	0	1
2022.09.01	01:51:00	1.00493	1.00496	1.00492	1.00493	18	0	1
2022.09.01	01:52:00	1.00493	1.00494	1.00491	1.00492	14	0	2
2022.09.01	01:53:00	1.00492	1.00507	1.00492	1.00506	6	0	2
2022.09.01	01:54:00	1.00503	1.00508	1.00498	1.00504	19	0	1
2022.09.01	01:55:00	1.00505	1.00506	1.00501	1.00505	32	0	2
2022.09.01	01:56:00	1.00505	1.00515	1.00505	1.00511	54	0	2
2022.09.01	01:57:00	1.00512	1.00513	1.00507	1.00509	19	0	1
2022.09.01	01:58:00	1.00507	1.00511	1.00507	1.00507	24	0	2
2022.09.01	01:59:00	1.00507	1.00511	1.00503	1.00510	7	0	2
2022.09.01	02:00:00	1.00508	1.00508	1.00492	1.00493	27	0	1
2022.09.01	02:01:00	1.00493	1.00493	1.00476	1.00476	24	0	1
2022.09.01	02:02:00	1.00476	1.00479	1.00472	1.00476	21	0	1
2022.09.01	02:03:00	1.00476	1.00481	1.00475	1.00481	38	0	0
2022.09.01	02:04:00	1.00484	1.00499	1.00484	1.00494	26	0	0
2022.09.01	02:05:00	1.00494	1.00498	1.00485	1.00487	30	0	0
2022.09.01	02:06:00	1.00488	1.00488	1.00476	1.00482	23	0	1
2022.09.01	02:07:00	1.00481	1.00487	1.00479	1.00481	16	0	1
2022.09.01	02:08:00	1.00481	1.00484	1.00478	1.00484	15	0	0
2022.09.01	02:09:00	1.00484	1.00485	1.00481	1.00483	16	0	1
2022.09.01	02:10:00	1.00484	1.00497	1.00484	1.00496	17	0	0
